"('xml',)",[['xml']]
"('corresponding', 'engines', 'encoding', 'track', 'lock', 'rise', 'damage', 'possibility', 'held', 'bypassed', 'particular', 'apply', 'i/o voltage')","[['corresponding', 'lock', 'particular', 'engines', 'encoding'], ['corresponding', 'lock', 'track'], ['corresponding', 'lock', 'rise'], ['corresponding', 'lock', 'damage'], ['corresponding', 'lock', 'possibility'], ['corresponding', 'lock', 'held'], ['corresponding', 'lock', 'bypassed'], ['corresponding', 'lock', 'particular', 'engines', 'apply'], ['corresponding', 'lock', 'i/o voltage'], ['encoding', 'engines', 'particular', 'lock', 'track'], ['encoding', 'engines', 'particular', 'lock', 'rise'], ['encoding', 'engines', 'particular', 'lock', 'damage'], ['encoding', 'engines', 'particular', 'lock', 'possibility'], ['encoding', 'engines', 'particular', 'lock', 'held'], ['encoding', 'engines', 'particular', 'lock', 'bypassed'], ['encoding', 'engines', 'apply'], ['encoding', 'engines', 'particular', 'lock', 'i/o voltage'], ['track', 'lock', 'rise'], ['track', 'lock', 'damage'], ['track', 'lock', 'possibility'], ['track', 'lock', 'held'], ['track', 'lock', 'bypassed'], ['track', 'lock', 'particular', 'engines', 'apply'], ['track', 'lock', 'i/o voltage'], ['rise', 'lock', 'damage'], ['rise', 'lock', 'possibility'], ['rise', 'lock', 'held'], ['rise', 'lock', 'bypassed'], ['rise', 'lock', 'particular', 'engines', 'apply'], ['rise', 'lock', 'i/o voltage'], ['damage', 'lock', 'possibility'], ['damage', 'lock', 'held'], ['damage', 'lock', 'bypassed'], ['damage', 'lock', 'particular', 'engines', 'apply'], ['damage', 'lock', 'i/o voltage'], ['possibility', 'lock', 'held'], ['possibility', 'lock', 'bypassed'], ['possibility', 'lock', 'particular', 'engines', 'apply'], ['possibility', 'lock', 'i/o voltage'], ['held', 'lock', 'bypassed'], ['held', 'lock', 'particular', 'engines', 'apply'], ['held', 'lock', 'i/o voltage'], ['bypassed', 'lock', 'particular', 'engines', 'apply'], ['bypassed', 'lock', 'i/o voltage'], ['apply', 'engines', 'particular', 'lock', 'i/o voltage']]"
"('perform', 'via', 'similarly')","[['perform', 'via', 'similarly']]"
"('conversion', 'slave', 'example type', 'filter', 'generated', 'example')","[['slave', 'generated', 'conversion', 'example', 'example type'], ['slave', 'generated', 'conversion', 'example', 'filter'], ['example type', 'example', 'filter']]"
"('1.1.1', 'overview')","[['1.1.1', 'overview']]"
"('flexibly', 'simple', 'storage', 'headings', 'compatibility', 'disconnecting')","[['flexibly', 'storage', 'disconnecting', 'simple'], ['flexibly', 'storage', 'headings'], ['flexibly', 'storage', 'disconnecting', 'compatibility'], ['simple', 'disconnecting', 'storage', 'headings'], ['simple', 'disconnecting', 'compatibility'], ['headings', 'storage', 'disconnecting', 'compatibility']]"
"('individually', 'ability', 'applications', 'stop', 'jtag port', 'turn', 'usually', 'output clock', 'left')","[['individually', 'turn', 'ability'], ['individually', 'turn', 'applications'], ['individually', 'turn', 'stop'], ['individually', 'turn', 'jtag port'], ['individually', 'turn', 'usually'], ['individually', 'turn', 'output clock'], ['individually', 'turn', 'left'], ['ability', 'turn', 'applications'], ['ability', 'turn', 'stop'], ['ability', 'turn', 'jtag port'], ['ability', 'turn', 'usually'], ['ability', 'turn', 'output clock'], ['ability', 'turn', 'left'], ['applications', 'turn', 'stop'], ['applications', 'turn', 'jtag port'], ['applications', 'turn', 'usually'], ['applications', 'turn', 'output clock'], ['applications', 'turn', 'left'], ['stop', 'turn', 'jtag port'], ['stop', 'turn', 'usually'], ['stop', 'turn', 'output clock'], ['stop', 'turn', 'left'], ['jtag port', 'turn', 'usually'], ['jtag port', 'turn', 'output clock'], ['jtag port', 'turn', 'left'], ['usually', 'turn', 'output clock'], ['usually', 'turn', 'left'], ['output clock', 'turn', 'left']]"
"('consult clearspeed', 'ctap config', 'consult')","[['consult clearspeed', 'ctap config', 'consult']]"
"('bandwidth', 'filter is:', 'simd')","[['bandwidth', 'simd', 'filter is:']]"
"('scalable', 'suited')","[['scalable', 'suited']]"
"('start', 'causing')","[['start', 'causing']]"
"('mu i/o', 'jitter', 'hdp.', 'multi-device', 'unique position', 'system bus,', 'maximum performance', 'pins.', 'resistors.', 'network', 'split transaction', 'floor life', 'msl', 'jedec msl', 'concurrent transfers,', 'avci', 'may', 'enumeration cycle', 'class', 'pin.', 'class ii,', 'employ', 'sstl operating', 'device number')","[['jitter', 'may', 'pins.', 'class', 'hdp.'], ['jitter', 'may', 'pins.', 'class', 'multi-device', 'system bus,'], ['jitter', 'may', 'pins.', 'class', 'unique position', 'sstl operating', 'maximum performance'], ['jitter', 'may', 'pins.', 'resistors.'], ['jitter', 'may', 'pins.', 'class', 'unique position', 'network'], ['jitter', 'may', 'pins.', 'class', 'unique position', 'mu i/o', 'split transaction'], ['jitter', 'may', 'pins.', 'class', 'unique position', 'mu i/o', 'floor life'], ['jitter', 'may', 'pins.', 'class', 'unique position', 'msl'], ['jitter', 'may', 'pins.', 'class', 'unique position', 'jedec msl'], ['jitter', 'may', 'pins.', 'class', 'unique position', 'mu i/o', 'concurrent transfers,'], ['jitter', 'may', 'pins.', 'class', 'unique position', 'avci'], ['jitter', 'may', 'pins.', 'class', 'multi-device', 'enumeration cycle'], ['jitter', 'may', 'pins.', 'pin.'], ['jitter', 'may', 'pins.', 'class', 'multi-device', 'class ii,'], ['jitter', 'may', 'pins.', 'employ'], ['jitter', 'may', 'pins.', 'class', 'unique position', 'sstl operating', 'device number'], ['hdp.', 'class', 'multi-device', 'system bus,'], ['hdp.', 'class', 'unique position', 'sstl operating', 'maximum performance'], ['hdp.', 'class', 'pins.', 'resistors.'], ['hdp.', 'class', 'unique position', 'network'], ['hdp.', 'class', 'unique position', 'mu i/o', 'split transaction'], ['hdp.', 'class', 'unique position', 'mu i/o', 'floor life'], ['hdp.', 'class', 'unique position', 'msl'], ['hdp.', 'class', 'unique position', 'jedec msl'], ['hdp.', 'class', 'unique position', 'mu i/o', 'concurrent transfers,'], ['hdp.', 'class', 'unique position', 'avci'], ['hdp.', 'class', 'multi-device', 'enumeration cycle'], ['hdp.', 'class', 'pins.', 'pin.'], ['hdp.', 'class', 'multi-device', 'class ii,'], ['hdp.', 'class', 'pins.', 'employ'], ['hdp.', 'class', 'unique position', 'sstl operating', 'device number'], ['system bus,', 'multi-device', 'class', 'unique position', 'sstl operating', 'maximum performance'], ['system bus,', 'multi-device', 'class', 'pins.', 'resistors.'], ['system bus,', 'multi-device', 'class', 'unique position', 'network'], ['system bus,', 'multi-device', 'class', 'unique position', 'mu i/o', 'split transaction'], ['system bus,', 'multi-device', 'class', 'unique position', 'mu i/o', 'floor life'], ['system bus,', 'multi-device', 'class', 'unique position', 'msl'], ['system bus,', 'multi-device', 'class', 'unique position', 'jedec msl'], ['system bus,', 'multi-device', 'class', 'unique position', 'mu i/o', 'concurrent transfers,'], ['system bus,', 'multi-device', 'class', 'unique position', 'avci'], ['system bus,', 'multi-device', 'enumeration cycle'], ['system bus,', 'multi-device', 'class', 'pins.', 'pin.'], ['system bus,', 'multi-device', 'class ii,'], ['system bus,', 'multi-device', 'class', 'pins.', 'employ'], ['system bus,', 'multi-device', 'class', 'unique position', 'sstl operating', 'device number'], ['maximum performance', 'sstl operating', 'unique position', 'class', 'pins.', 'resistors.'], ['maximum performance', 'sstl operating', 'unique position', 'network'], ['maximum performance', 'sstl operating', 'unique position', 'mu i/o', 'split transaction'], ['maximum performance', 'sstl operating', 'unique position', 'mu i/o', 'floor life'], ['maximum performance', 'sstl operating', 'unique position', 'msl'], ['maximum performance', 'sstl operating', 'unique position', 'jedec msl'], ['maximum performance', 'sstl operating', 'unique position', 'mu i/o', 'concurrent transfers,'], ['maximum performance', 'sstl operating', 'unique position', 'avci'], ['maximum performance', 'sstl operating', 'unique position', 'class', 'multi-device', 'enumeration cycle'], ['maximum performance', 'sstl operating', 'unique position', 'class', 'pins.', 'pin.'], ['maximum performance', 'sstl operating', 'unique position', 'class', 'multi-device', 'class ii,'], ['maximum performance', 'sstl operating', 'unique position', 'class', 'pins.', 'employ'], ['maximum performance', 'sstl operating', 'device number'], ['resistors.', 'pins.', 'class', 'unique position', 'network'], ['resistors.', 'pins.', 'class', 'unique position', 'mu i/o', 'split transaction'], ['resistors.', 'pins.', 'class', 'unique position', 'mu i/o', 'floor life'], ['resistors.', 'pins.', 'class', 'unique position', 'msl'], ['resistors.', 'pins.', 'class', 'unique position', 'jedec msl'], ['resistors.', 'pins.', 'class', 'unique position', 'mu i/o', 'concurrent transfers,'], ['resistors.', 'pins.', 'class', 'unique position', 'avci'], ['resistors.', 'pins.', 'class', 'multi-device', 'enumeration cycle'], ['resistors.', 'pins.', 'pin.'], ['resistors.', 'pins.', 'class', 'multi-device', 'class ii,'], ['resistors.', 'pins.', 'employ'], ['resistors.', 'pins.', 'class', 'unique position', 'sstl operating', 'device number'], ['network', 'unique position', 'mu i/o', 'split transaction'], ['network', 'unique position', 'mu i/o', 'floor life'], ['network', 'unique position', 'msl'], ['network', 'unique position', 'jedec msl'], ['network', 'unique position', 'mu i/o', 'concurrent transfers,'], ['network', 'unique position', 'avci'], ['network', 'unique position', 'class', 'multi-device', 'enumeration cycle'], ['network', 'unique position', 'class', 'pins.', 'pin.'], ['network', 'unique position', 'class', 'multi-device', 'class ii,'], ['network', 'unique position', 'class', 'pins.', 'employ'], ['network', 'unique position', 'sstl operating', 'device number'], ['split transaction', 'mu i/o', 'floor life'], ['split transaction', 'mu i/o', 'unique position', 'msl'], ['split transaction', 'mu i/o', 'unique position', 'jedec msl'], ['split transaction', 'mu i/o', 'concurrent transfers,'], ['split transaction', 'mu i/o', 'unique position', 'avci'], ['split transaction', 'mu i/o', 'unique position', 'class', 'multi-device', 'enumeration cycle'], ['split transaction', 'mu i/o', 'unique position', 'class', 'pins.', 'pin.'], ['split transaction', 'mu i/o', 'unique position', 'class', 'multi-device', 'class ii,'], ['split transaction', 'mu i/o', 'unique position', 'class', 'pins.', 'employ'], ['split transaction', 'mu i/o', 'unique position', 'sstl operating', 'device number'], ['floor life', 'mu i/o', 'unique position', 'msl'], ['floor life', 'mu i/o', 'unique position', 'jedec msl'], ['floor life', 'mu i/o', 'concurrent transfers,'], ['floor life', 'mu i/o', 'unique position', 'avci'], ['floor life', 'mu i/o', 'unique position', 'class', 'multi-device', 'enumeration cycle'], ['floor life', 'mu i/o', 'unique position', 'class', 'pins.', 'pin.'], ['floor life', 'mu i/o', 'unique position', 'class', 'multi-device', 'class ii,'], ['floor life', 'mu i/o', 'unique position', 'class', 'pins.', 'employ'], ['floor life', 'mu i/o', 'unique position', 'sstl operating', 'device number'], ['msl', 'unique position', 'jedec msl'], ['msl', 'unique position', 'mu i/o', 'concurrent transfers,'], ['msl', 'unique position', 'avci'], ['msl', 'unique position', 'class', 'multi-device', 'enumeration cycle'], ['msl', 'unique position', 'class', 'pins.', 'pin.'], ['msl', 'unique position', 'class', 'multi-device', 'class ii,'], ['msl', 'unique position', 'class', 'pins.', 'employ'], ['msl', 'unique position', 'sstl operating', 'device number'], ['jedec msl', 'unique position', 'mu i/o', 'concurrent transfers,'], ['jedec msl', 'unique position', 'avci'], ['jedec msl', 'unique position', 'class', 'multi-device', 'enumeration cycle'], ['jedec msl', 'unique position', 'class', 'pins.', 'pin.'], ['jedec msl', 'unique position', 'class', 'multi-device', 'class ii,'], ['jedec msl', 'unique position', 'class', 'pins.', 'employ'], ['jedec msl', 'unique position', 'sstl operating', 'device number'], ['concurrent transfers,', 'mu i/o', 'unique position', 'avci'], ['concurrent transfers,', 'mu i/o', 'unique position', 'class', 'multi-device', 'enumeration cycle'], ['concurrent transfers,', 'mu i/o', 'unique position', 'class', 'pins.', 'pin.'], ['concurrent transfers,', 'mu i/o', 'unique position', 'class', 'multi-device', 'class ii,'], ['concurrent transfers,', 'mu i/o', 'unique position', 'class', 'pins.', 'employ'], ['concurrent transfers,', 'mu i/o', 'unique position', 'sstl operating', 'device number'], ['avci', 'unique position', 'class', 'multi-device', 'enumeration cycle'], ['avci', 'unique position', 'class', 'pins.', 'pin.'], ['avci', 'unique position', 'class', 'multi-device', 'class ii,'], ['avci', 'unique position', 'class', 'pins.', 'employ'], ['avci', 'unique position', 'sstl operating', 'device number'], ['enumeration cycle', 'multi-device', 'class', 'pins.', 'pin.'], ['enumeration cycle', 'multi-device', 'class ii,'], ['enumeration cycle', 'multi-device', 'class', 'pins.', 'employ'], ['enumeration cycle', 'multi-device', 'class', 'unique position', 'sstl operating', 'device number'], ['pin.', 'pins.', 'class', 'multi-device', 'class ii,'], ['pin.', 'pins.', 'employ'], ['pin.', 'pins.', 'class', 'unique position', 'sstl operating', 'device number'], ['class ii,', 'multi-device', 'class', 'pins.', 'employ'], ['class ii,', 'multi-device', 'class', 'unique position', 'sstl operating', 'device number'], ['employ', 'pins.', 'class', 'unique position', 'sstl operating', 'device number']]"
"('3.4.3',)",[['3.4.3']]
"('marking',)",[['marking']]
"('point application', 'address', 'csx', 'high-performance')","[['point application', 'high-performance', 'address'], ['point application', 'high-performance', 'csx'], ['address', 'high-performance', 'csx']]"
"('addressing', 'sets', 'large', 'references', 'processed', 'mapped', 'counts')","[['addressing', 'large', 'counts', 'processed', 'sets'], ['addressing', 'large', 'counts', 'references'], ['addressing', 'large', 'counts', 'mapped'], ['sets', 'processed', 'counts', 'references'], ['sets', 'processed', 'counts', 'mapped'], ['references', 'counts', 'mapped']]"
"('nc', 'ddr interface')","[['nc', 'ddr interface']]"
"('bridge port', 'multiple', 'dqs', 'adaptor', 'multidrop', 'cas', 'clkin_p', 'access memory', 'hreq', 'clkin_n', 'dq', 'supports', 'flotherm', 'ccb.', 'pull-ups.')","[['dqs', 'cas', 'ccb.', 'adaptor', 'multidrop'], ['dqs', 'cas', 'ccb.', 'adaptor', 'clkin_p'], ['dqs', 'cas', 'hreq'], ['dqs', 'cas', 'clkin_n'], ['dqs', 'cas', 'ccb.', 'dq'], ['dqs', 'cas', 'ccb.', 'multiple', 'access memory', 'supports'], ['dqs', 'cas', 'ccb.', 'adaptor', 'pull-ups.'], ['multidrop', 'adaptor', 'clkin_p'], ['multidrop', 'adaptor', 'ccb.', 'cas', 'hreq'], ['multidrop', 'adaptor', 'ccb.', 'cas', 'clkin_n'], ['multidrop', 'adaptor', 'ccb.', 'dq'], ['multidrop', 'adaptor', 'ccb.', 'multiple', 'access memory', 'supports'], ['multidrop', 'adaptor', 'pull-ups.'], ['clkin_p', 'adaptor', 'ccb.', 'cas', 'hreq'], ['clkin_p', 'adaptor', 'ccb.', 'cas', 'clkin_n'], ['clkin_p', 'adaptor', 'ccb.', 'dq'], ['clkin_p', 'adaptor', 'ccb.', 'multiple', 'access memory', 'supports'], ['clkin_p', 'adaptor', 'pull-ups.'], ['hreq', 'cas', 'clkin_n'], ['hreq', 'cas', 'ccb.', 'dq'], ['hreq', 'cas', 'ccb.', 'multiple', 'access memory', 'supports'], ['hreq', 'cas', 'ccb.', 'adaptor', 'pull-ups.'], ['clkin_n', 'cas', 'ccb.', 'dq'], ['clkin_n', 'cas', 'ccb.', 'multiple', 'access memory', 'supports'], ['clkin_n', 'cas', 'ccb.', 'adaptor', 'pull-ups.'], ['dq', 'ccb.', 'multiple', 'access memory', 'supports'], ['dq', 'ccb.', 'adaptor', 'pull-ups.'], ['supports', 'access memory', 'multiple', 'ccb.', 'adaptor', 'pull-ups.']]"
"('point coprocessor', 'performance computing', 'variety', 'systems.', 'designed', 'coprocessor')","[['point coprocessor', 'systems.', 'performance computing'], ['point coprocessor', 'systems.', 'variety'], ['performance computing', 'systems.', 'variety']]"
"('provide', 'bit', 'occur')","[['provide', 'bit', 'occur']]"
"('receive', 'depending')","[['receive', 'depending']]"
"('concurrently.', 'application.', 'protocol')","[['concurrently.', 'protocol', 'application.']]"
"('clearspeed', 'clock frequency', 'config')","[['clearspeed', 'clock frequency', 'config']]"
"('semaphores', 'parameters', 'support', 'length', 'closely', 'time', 'need', 'traces', 'transparently')","[['semaphores', 'closely', 'parameters'], ['semaphores', 'closely', 'length'], ['semaphores', 'closely', 'time'], ['semaphores', 'closely', 'need'], ['semaphores', 'closely', 'support', 'traces'], ['semaphores', 'closely', 'transparently'], ['parameters', 'closely', 'length'], ['parameters', 'closely', 'time'], ['parameters', 'closely', 'need'], ['parameters', 'closely', 'support', 'traces'], ['parameters', 'closely', 'transparently'], ['length', 'closely', 'time'], ['length', 'closely', 'need'], ['length', 'closely', 'support', 'traces'], ['length', 'closely', 'transparently'], ['time', 'closely', 'need'], ['time', 'closely', 'support', 'traces'], ['time', 'closely', 'transparently'], ['need', 'closely', 'support', 'traces'], ['need', 'closely', 'transparently'], ['traces', 'support', 'closely', 'transparently']]"
"('plus', 'includes')","[['plus', 'includes']]"
"('2.1.3',)",[['2.1.3']]
"('instructions',)",[['instructions']]
"('uniquely', '1.5', 'addresses', 'pio', 'assigned', 'instruction code', 'targets', 'analog', 'lengths', 'tightly', 'forms', 'varies', 'master', 'memory', 'type', '1149.1', 'mtap processor', 'signals.', 'correct ddr2 design', 'basically', 'careful', 'measured', 'drams.', 'identified', 'timings', 'capability', 'carries', 'mean')","[['uniquely', 'addresses', 'master', 'drams.', 'analog', 'memory', '1.5'], ['uniquely', 'addresses', 'master', 'drams.', 'analog', 'memory', 'pio'], ['uniquely', 'addresses', 'master', 'drams.', 'instruction code'], ['uniquely', 'addresses', 'targets'], ['uniquely', 'addresses', 'lengths'], ['uniquely', 'addresses', 'tightly'], ['uniquely', 'addresses', 'correct ddr2 design', 'forms'], ['uniquely', 'addresses', 'varies'], ['uniquely', 'addresses', 'master', 'drams.', '1149.1'], ['uniquely', 'addresses', 'master', 'drams.', 'analog', 'mtap processor'], ['uniquely', 'addresses', 'master', 'drams.', 'signals.'], ['uniquely', 'addresses', 'basically'], ['uniquely', 'addresses', 'careful'], ['uniquely', 'addresses', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['uniquely', 'addresses', 'timings'], ['uniquely', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['uniquely', 'addresses', 'carries'], ['uniquely', 'addresses', 'mean'], ['1.5', 'memory', 'pio'], ['1.5', 'memory', 'analog', 'drams.', 'instruction code'], ['1.5', 'memory', 'analog', 'drams.', 'master', 'addresses', 'targets'], ['1.5', 'memory', 'analog', 'drams.', 'master', 'addresses', 'lengths'], ['1.5', 'memory', 'analog', 'drams.', 'master', 'addresses', 'tightly'], ['1.5', 'memory', 'analog', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'forms'], ['1.5', 'memory', 'analog', 'drams.', 'master', 'addresses', 'varies'], ['1.5', 'memory', 'analog', 'drams.', '1149.1'], ['1.5', 'memory', 'analog', 'mtap processor'], ['1.5', 'memory', 'analog', 'drams.', 'signals.'], ['1.5', 'memory', 'analog', 'drams.', 'master', 'addresses', 'basically'], ['1.5', 'memory', 'analog', 'drams.', 'master', 'addresses', 'careful'], ['1.5', 'memory', 'analog', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['1.5', 'memory', 'analog', 'drams.', 'master', 'addresses', 'timings'], ['1.5', 'memory', 'analog', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['1.5', 'memory', 'analog', 'drams.', 'master', 'addresses', 'carries'], ['1.5', 'memory', 'analog', 'drams.', 'master', 'addresses', 'mean'], ['pio', 'memory', 'analog', 'drams.', 'instruction code'], ['pio', 'memory', 'analog', 'drams.', 'master', 'addresses', 'targets'], ['pio', 'memory', 'analog', 'drams.', 'master', 'addresses', 'lengths'], ['pio', 'memory', 'analog', 'drams.', 'master', 'addresses', 'tightly'], ['pio', 'memory', 'analog', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'forms'], ['pio', 'memory', 'analog', 'drams.', 'master', 'addresses', 'varies'], ['pio', 'memory', 'analog', 'drams.', '1149.1'], ['pio', 'memory', 'analog', 'mtap processor'], ['pio', 'memory', 'analog', 'drams.', 'signals.'], ['pio', 'memory', 'analog', 'drams.', 'master', 'addresses', 'basically'], ['pio', 'memory', 'analog', 'drams.', 'master', 'addresses', 'careful'], ['pio', 'memory', 'analog', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['pio', 'memory', 'analog', 'drams.', 'master', 'addresses', 'timings'], ['pio', 'memory', 'analog', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['pio', 'memory', 'analog', 'drams.', 'master', 'addresses', 'carries'], ['pio', 'memory', 'analog', 'drams.', 'master', 'addresses', 'mean'], ['instruction code', 'drams.', 'master', 'addresses', 'targets'], ['instruction code', 'drams.', 'master', 'addresses', 'lengths'], ['instruction code', 'drams.', 'master', 'addresses', 'tightly'], ['instruction code', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'forms'], ['instruction code', 'drams.', 'master', 'addresses', 'varies'], ['instruction code', 'drams.', '1149.1'], ['instruction code', 'drams.', 'analog', 'mtap processor'], ['instruction code', 'drams.', 'signals.'], ['instruction code', 'drams.', 'master', 'addresses', 'basically'], ['instruction code', 'drams.', 'master', 'addresses', 'careful'], ['instruction code', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['instruction code', 'drams.', 'master', 'addresses', 'timings'], ['instruction code', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['instruction code', 'drams.', 'master', 'addresses', 'carries'], ['instruction code', 'drams.', 'master', 'addresses', 'mean'], ['targets', 'addresses', 'lengths'], ['targets', 'addresses', 'tightly'], ['targets', 'addresses', 'correct ddr2 design', 'forms'], ['targets', 'addresses', 'varies'], ['targets', 'addresses', 'master', 'drams.', '1149.1'], ['targets', 'addresses', 'master', 'drams.', 'analog', 'mtap processor'], ['targets', 'addresses', 'master', 'drams.', 'signals.'], ['targets', 'addresses', 'basically'], ['targets', 'addresses', 'careful'], ['targets', 'addresses', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['targets', 'addresses', 'timings'], ['targets', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['targets', 'addresses', 'carries'], ['targets', 'addresses', 'mean'], ['lengths', 'addresses', 'tightly'], ['lengths', 'addresses', 'correct ddr2 design', 'forms'], ['lengths', 'addresses', 'varies'], ['lengths', 'addresses', 'master', 'drams.', '1149.1'], ['lengths', 'addresses', 'master', 'drams.', 'analog', 'mtap processor'], ['lengths', 'addresses', 'master', 'drams.', 'signals.'], ['lengths', 'addresses', 'basically'], ['lengths', 'addresses', 'careful'], ['lengths', 'addresses', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['lengths', 'addresses', 'timings'], ['lengths', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['lengths', 'addresses', 'carries'], ['lengths', 'addresses', 'mean'], ['tightly', 'addresses', 'correct ddr2 design', 'forms'], ['tightly', 'addresses', 'varies'], ['tightly', 'addresses', 'master', 'drams.', '1149.1'], ['tightly', 'addresses', 'master', 'drams.', 'analog', 'mtap processor'], ['tightly', 'addresses', 'master', 'drams.', 'signals.'], ['tightly', 'addresses', 'basically'], ['tightly', 'addresses', 'careful'], ['tightly', 'addresses', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['tightly', 'addresses', 'timings'], ['tightly', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['tightly', 'addresses', 'carries'], ['tightly', 'addresses', 'mean'], ['forms', 'correct ddr2 design', 'addresses', 'varies'], ['forms', 'correct ddr2 design', 'addresses', 'master', 'drams.', '1149.1'], ['forms', 'correct ddr2 design', 'addresses', 'master', 'drams.', 'analog', 'mtap processor'], ['forms', 'correct ddr2 design', 'addresses', 'master', 'drams.', 'signals.'], ['forms', 'correct ddr2 design', 'addresses', 'basically'], ['forms', 'correct ddr2 design', 'addresses', 'careful'], ['forms', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['forms', 'correct ddr2 design', 'addresses', 'timings'], ['forms', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['forms', 'correct ddr2 design', 'addresses', 'carries'], ['forms', 'correct ddr2 design', 'addresses', 'mean'], ['varies', 'addresses', 'master', 'drams.', '1149.1'], ['varies', 'addresses', 'master', 'drams.', 'analog', 'mtap processor'], ['varies', 'addresses', 'master', 'drams.', 'signals.'], ['varies', 'addresses', 'basically'], ['varies', 'addresses', 'careful'], ['varies', 'addresses', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['varies', 'addresses', 'timings'], ['varies', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['varies', 'addresses', 'carries'], ['varies', 'addresses', 'mean'], ['1149.1', 'drams.', 'analog', 'mtap processor'], ['1149.1', 'drams.', 'signals.'], ['1149.1', 'drams.', 'master', 'addresses', 'basically'], ['1149.1', 'drams.', 'master', 'addresses', 'careful'], ['1149.1', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['1149.1', 'drams.', 'master', 'addresses', 'timings'], ['1149.1', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['1149.1', 'drams.', 'master', 'addresses', 'carries'], ['1149.1', 'drams.', 'master', 'addresses', 'mean'], ['mtap processor', 'analog', 'drams.', 'signals.'], ['mtap processor', 'analog', 'drams.', 'master', 'addresses', 'basically'], ['mtap processor', 'analog', 'drams.', 'master', 'addresses', 'careful'], ['mtap processor', 'analog', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['mtap processor', 'analog', 'drams.', 'master', 'addresses', 'timings'], ['mtap processor', 'analog', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['mtap processor', 'analog', 'drams.', 'master', 'addresses', 'carries'], ['mtap processor', 'analog', 'drams.', 'master', 'addresses', 'mean'], ['signals.', 'drams.', 'master', 'addresses', 'basically'], ['signals.', 'drams.', 'master', 'addresses', 'careful'], ['signals.', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['signals.', 'drams.', 'master', 'addresses', 'timings'], ['signals.', 'drams.', 'master', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['signals.', 'drams.', 'master', 'addresses', 'carries'], ['signals.', 'drams.', 'master', 'addresses', 'mean'], ['basically', 'addresses', 'careful'], ['basically', 'addresses', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['basically', 'addresses', 'timings'], ['basically', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['basically', 'addresses', 'carries'], ['basically', 'addresses', 'mean'], ['careful', 'addresses', 'correct ddr2 design', 'assigned', 'measured', 'identified'], ['careful', 'addresses', 'timings'], ['careful', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['careful', 'addresses', 'carries'], ['careful', 'addresses', 'mean'], ['identified', 'measured', 'assigned', 'correct ddr2 design', 'addresses', 'timings'], ['identified', 'measured', 'assigned', 'type', 'capability'], ['identified', 'measured', 'assigned', 'correct ddr2 design', 'addresses', 'carries'], ['identified', 'measured', 'assigned', 'correct ddr2 design', 'addresses', 'mean'], ['timings', 'addresses', 'correct ddr2 design', 'assigned', 'type', 'capability'], ['timings', 'addresses', 'carries'], ['timings', 'addresses', 'mean'], ['capability', 'type', 'assigned', 'correct ddr2 design', 'addresses', 'carries'], ['capability', 'type', 'assigned', 'correct ddr2 design', 'addresses', 'mean'], ['carries', 'addresses', 'mean']]"
"('characteristics', 'ratings')","[['characteristics', 'ratings']]"
"('presents', 'small', 'related', 'pcie config space', 'according')","[['small', 'related', 'presents', 'pcie config space'], ['small', 'related', 'according'], ['pcie config space', 'presents', 'related', 'according']]"
"('10', 'directly')","[['10', 'directly']]"
